feature,importance_gain,importance_split
vwap_log_ret_3_minus_10_lag1,396.33199310302734,3
csi1500_ew_oc_ret_lag1,394.8936004638672,5
n225_swing_lag5,394.73170471191406,5
hsi_ret_lag5,393.2073974609375,4
mkt_gt5_rate_lag2,391.0424041748047,5
turnover_f_log_lag8,389.4049987792969,2
sw_l2_range_z_20_lag1,389.0011901855469,4
sw_l2_oc_ret_lag4,386.3310012817383,4
sw_l2_mom5_rel_csi1500_ew_lag2,386.0677947998047,4
margin_pressure_lag20,385.2502975463867,4
csi1500_mcap_mom_5,383.1177978515625,4
mkt_mf_inst_rate_lag3,382.10679626464844,3
ret_std_5_z_lag15,381.17940521240234,3
mean_5m_range_lag3,380.2720031738281,2
sw_l2_mom_2,379.31380462646484,4
ret_5_lag5,377.1125946044922,3
csi1500_ew_mom_2_lag1,376.73290634155273,4
csi1500_ew_lt_minus_2pct_ratio_lag5,375.4241943359375,4
vol_over_sw_l2_vol_lag5,374.7894973754883,4
late_realized_vol_1m,374.61500549316406,2
ret_std_5_z,374.0159912109375,3
last_15m_range,370.34698486328125,1
mkt_mf_inst_z_20_lag2,368.53990173339844,3
mkt_ret_sz_lag3,368.2123031616211,4
mkt_ret_sz_lag5,367.2406005859375,4
turnover_f_cs_rank_lag20,366.6999969482422,4
ret_5_prank_1500_lag6,364.2203025817871,4
vwap_log_ret_5_lag10,362.10130310058594,4
sw_l2_turnover_proxy_lag2,360.79419708251953,4
vwap_imbalance,360.59229278564453,4
vwap_z_lag20,358.7290954589844,3
mkt_mf_retail_rate,358.67259979248047,5
csi1500_ew_gt_2pct_ratio_lag3,358.3092956542969,5
total_mv_z_lag1,357.24440002441406,3
circ_mv_z_lag20,356.0461959838867,4
sw_l2_mom_10_lag3,355.9550971984863,4
turnover_f_cs_rank_lag6,353.5970001220703,2
ret_1_rel_csi1500_mcap,350.7904052734375,3
sw_l2_mom_20_lag3,348.68418884277344,4
sw_l2_turnover_proxy_lag5,346.98719787597656,4
turnover_f_log_lag7,346.88079833984375,3
true_range_mean_5_z_lag1,346.7761993408203,3
down_bar_ratio,345.6053009033203,4
mkt_pos_rate_lag1,344.34429931640625,2
sw_l2_oc_ret_lag20,343.07340240478516,4
up_bar_ratio_lag3,342.9854049682617,4
chip_pressure_lag10,342.88480377197266,4
mkt_mf_retail_rate_lag1,342.4554023742676,4
turnover_prank_1500_lag7,341.2719955444336,2
vwap_log_ret_3_minus_10_lag3,341.26700592041016,3
intraday_max_drawdown_lag1,338.0331039428711,3
sw_l2_mom_10_lag5,335.02579498291016,4
vol_over_csi1500_ew_vol_lag3,334.65480041503906,4
vwap_z_lag1,333.9050979614258,4
ret_20_rel_csi1500_mcap_lag10,333.88289642333984,4
turnover_prank_1500_lag6,332.7119903564453,2
csi1500_ew_ret,332.222900390625,4
csi1500_mcap_max_weight_lag3,329.0130081176758,3
spx_ret_lag5,327.85150146484375,3
buy_volume_ratio_lag3,326.5420036315918,4
circ_mv_z_lag5,324.27000427246094,3
sw_l2_mom_3_lag1,323.95849609375,4
sw_l2_ret_1_lag9,319.0053939819336,4
mv_prank_1500_lag5,317.5166015625,4
last60_minus_first60_ret_lag1,316.10350799560547,4
csi1500_mcap_mom_2,316.0583953857422,4
ret_20_lag3,311.24629974365234,3
return_autocorr_1_lag2,305.9619903564453,2
